Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
935.90	1.0000	0.57296	1.7453	44.466	52.249	172.49	45.187	53.511	457.67	0.10248	3.9256e-05	0.066308	vapor
938.87	1.0000	0.57114	1.7509	44.601	52.408	172.66	45.227	53.551	458.36	0.10128	3.9346e-05	0.066518	vapor
941.84	1.0000	0.56934	1.7564	44.735	52.568	172.82	45.267	53.590	459.06	0.10010	3.9437e-05	0.066727	vapor
944.82	1.0000	0.56755	1.7620	44.870	52.727	172.99	45.306	53.630	459.75	0.098921	3.9527e-05	0.066937	vapor
947.79	1.0000	0.56577	1.7675	45.005	52.886	173.16	45.345	53.669	460.44	0.097756	3.9618e-05	0.067146	vapor
950.76	1.0000	0.56400	1.7731	45.139	53.046	173.33	45.384	53.708	461.13	0.096601	3.9708e-05	0.067355	vapor
953.73	1.0000	0.56224	1.7786	45.274	53.206	173.50	45.423	53.746	461.82	0.095457	3.9798e-05	0.067564	vapor
956.71	1.0000	0.56049	1.7841	45.409	53.365	173.67	45.461	53.785	462.51	0.094323	3.9888e-05	0.067772	vapor
959.68	1.0000	0.55876	1.7897	45.545	53.525	173.83	45.499	53.823	463.20	0.093198	3.9978e-05	0.067980	vapor
962.65	1.0000	0.55703	1.7952	45.680	53.685	174.00	45.538	53.861	463.89	0.092084	4.0067e-05	0.068188	vapor
965.62	1.0000	0.55531	1.8008	45.815	53.846	174.16	45.575	53.899	464.57	0.090979	4.0157e-05	0.068396	vapor
968.60	1.0000	0.55361	1.8063	45.951	54.006	174.33	45.613	53.936	465.26	0.089883	4.0246e-05	0.068603	vapor
971.57	1.0000	0.55192	1.8119	46.087	54.166	174.50	45.651	53.974	465.94	0.088797	4.0335e-05	0.068810	vapor
974.54	1.0000	0.55023	1.8174	46.222	54.327	174.66	45.688	54.011	466.62	0.087720	4.0424e-05	0.069017	vapor
977.51	1.0000	0.54856	1.8230	46.358	54.487	174.83	45.725	54.048	467.31	0.086653	4.0513e-05	0.069224	vapor
980.49	1.0000	0.54689	1.8285	46.494	54.648	174.99	45.762	54.085	467.99	0.085595	4.0602e-05	0.069431	vapor
983.46	1.0000	0.54524	1.8341	46.630	54.809	175.15	45.799	54.122	468.67	0.084545	4.0691e-05	0.069637	vapor
986.43	1.0000	0.54360	1.8396	46.766	54.970	175.32	45.835	54.158	469.35	0.083504	4.0780e-05	0.069843	vapor
989.40	1.0000	0.54196	1.8451	46.903	55.131	175.48	45.872	54.194	470.03	0.082473	4.0868e-05	0.070048	vapor
992.37	1.0000	0.54034	1.8507	47.039	55.292	175.64	45.908	54.230	470.70	0.081449	4.0956e-05	0.070254	vapor
995.35	1.0000	0.53873	1.8562	47.176	55.453	175.80	45.944	54.266	471.38	0.080435	4.1045e-05	0.070459	vapor
998.32	1.0000	0.53712	1.8618	47.312	55.614	175.97	45.979	54.302	472.05	0.079429	4.1133e-05	0.070664	vapor
1001.3	1.0000	0.53553	1.8673	47.449	55.776	176.13	46.015	54.338	472.73	0.078431	4.1221e-05	0.070869	vapor
1004.3	1.0000	0.53394	1.8729	47.586	55.937	176.29	46.050	54.373	473.40	0.077441	4.1308e-05	0.071073	vapor
1007.2	1.0000	0.53237	1.8784	47.723	56.099	176.45	46.086	54.408	474.07	0.076460	4.1396e-05	0.071278	vapor
1010.2	1.0000	0.53080	1.8840	47.860	56.261	176.61	46.121	54.443	474.75	0.075486	4.1484e-05	0.071482	vapor
1013.2	1.0000	0.52924	1.8895	47.997	56.423	176.77	46.156	54.478	475.42	0.074521	4.1571e-05	0.071685	vapor
1016.2	1.0000	0.52769	1.8950	48.134	56.585	176.93	46.190	54.513	476.09	0.073563	4.1658e-05	0.071889	vapor
1019.1	1.0000	0.52615	1.9006	48.272	56.747	177.09	46.225	54.547	476.75	0.072614	4.1746e-05	0.072092	vapor
1022.1	1.0000	0.52462	1.9061	48.409	56.909	177.25	46.259	54.581	477.42	0.071672	4.1833e-05	0.072295	vapor
1025.1	1.0000	0.52310	1.9117	48.547	57.071	177.41	46.293	54.616	478.09	0.070737	4.1920e-05	0.072498	vapor
1028.0	1.0000	0.52159	1.9172	48.684	57.234	177.56	46.327	54.649	478.76	0.069810	4.2006e-05	0.072701	vapor
1031.0	1.0000	0.52008	1.9228	48.822	57.396	177.72	46.361	54.683	479.42	0.068891	4.2093e-05	0.072903	vapor
1034.0	1.0000	0.51859	1.9283	48.960	57.559	177.88	46.395	54.717	480.08	0.067978	4.2180e-05	0.073105	vapor
1037.0	1.0000	0.51710	1.9339	49.098	57.721	178.04	46.428	54.750	480.75	0.067073	4.2266e-05	0.073307	vapor
1039.9	1.0000	0.51562	1.9394	49.236	57.884	178.19	46.462	54.783	481.41	0.066176	4.2352e-05	0.073508	vapor
1042.9	1.0000	0.51415	1.9449	49.374	58.047	178.35	46.495	54.817	482.07	0.065285	4.2439e-05	0.073710	vapor
1045.9	1.0000	0.51269	1.9505	49.512	58.210	178.51	46.528	54.849	482.73	0.064401	4.2525e-05	0.073911	vapor
1048.8	1.0000	0.51124	1.9560	49.651	58.373	178.66	46.560	54.882	483.39	0.063524	4.2611e-05	0.074112	vapor
1051.8	1.0000	0.50979	1.9616	49.789	58.536	178.82	46.593	54.915	484.05	0.062655	4.2697e-05	0.074312	vapor
1054.8	1.0000	0.50836	1.9671	49.928	58.700	178.97	46.625	54.947	484.71	0.061791	4.2782e-05	0.074513	vapor
1057.8	1.0000	0.50693	1.9727	50.066	58.863	179.13	46.658	54.979	485.37	0.060935	4.2868e-05	0.074713	vapor
1060.7	1.0000	0.50551	1.9782	50.205	59.026	179.28	46.690	55.011	486.02	0.060085	4.2954e-05	0.074913	vapor
1063.7	1.0000	0.50409	1.9838	50.344	59.190	179.44	46.722	55.043	486.68	0.059242	4.3039e-05	0.075112	vapor
1066.7	1.0000	0.50269	1.9893	50.483	59.354	179.59	46.754	55.075	487.33	0.058405	4.3124e-05	0.075312	vapor
1069.7	1.0000	0.50129	1.9948	50.622	59.517	179.74	46.785	55.107	487.99	0.057575	4.3210e-05	0.075511	vapor
1072.6	1.0000	0.49990	2.0004	50.761	59.681	179.89	46.817	55.138	488.64	0.056751	4.3295e-05	0.075710	vapor
1075.6	1.0000	0.49852	2.0059	50.900	59.845	180.05	46.848	55.169	489.29	0.055933	4.3380e-05	0.075909	vapor
1078.6	1.0000	0.49715	2.0115	51.040	60.009	180.20	46.879	55.200	489.94	0.055122	4.3464e-05	0.076107	vapor
1081.5	1.0000	0.49578	2.0170	51.179	60.173	180.35	46.910	55.231	490.59	0.054316	4.3549e-05	0.076306	vapor
1084.5	1.0000	0.49442	2.0226	51.318	60.338	180.50	46.941	55.262	491.24	0.053517	4.3634e-05	0.076504	vapor
1087.5	1.0000	0.49307	2.0281	51.458	60.502	180.65	46.972	55.293	491.89	0.052724	4.3718e-05	0.076702	vapor
1090.5	1.0000	0.49173	2.0337	51.598	60.666	180.81	47.002	55.323	492.54	0.051936	4.3803e-05	0.076899	vapor
