Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1904.9	1.0000	0.28149	3.5525	92.177	108.02	213.12	51.715	60.031	646.47	-0.052702	6.3994e-05	0.12379	vapor
1907.9	1.0000	0.28105	3.5580	92.330	108.20	213.21	51.724	60.040	646.97	-0.052884	6.4060e-05	0.12394	vapor
1910.8	1.0000	0.28062	3.5636	92.484	108.38	213.30	51.733	60.049	647.47	-0.053066	6.4125e-05	0.12409	vapor
1913.8	1.0000	0.28018	3.5691	92.638	108.55	213.40	51.742	60.059	647.96	-0.053246	6.4191e-05	0.12424	vapor
1916.8	1.0000	0.27975	3.5747	92.792	108.73	213.49	51.751	60.068	648.46	-0.053426	6.4257e-05	0.12439	vapor
1919.7	1.0000	0.27931	3.5802	92.946	108.91	213.58	51.760	60.077	648.95	-0.053605	6.4323e-05	0.12454	vapor
1922.7	1.0000	0.27888	3.5857	93.100	109.09	213.68	51.769	60.086	649.45	-0.053784	6.4388e-05	0.12468	vapor
1925.7	1.0000	0.27845	3.5913	93.253	109.27	213.77	51.778	60.095	649.94	-0.053961	6.4454e-05	0.12483	vapor
1928.7	1.0000	0.27802	3.5968	93.407	109.45	213.86	51.787	60.103	650.43	-0.054139	6.4519e-05	0.12498	vapor
1931.6	1.0000	0.27760	3.6024	93.561	109.63	213.96	51.796	60.112	650.93	-0.054315	6.4585e-05	0.12513	vapor
1934.6	1.0000	0.27717	3.6079	93.715	109.80	214.05	51.805	60.121	651.42	-0.054491	6.4650e-05	0.12528	vapor
1937.6	1.0000	0.27674	3.6135	93.869	109.98	214.14	51.814	60.130	651.91	-0.054666	6.4716e-05	0.12543	vapor
1940.6	1.0000	0.27632	3.6190	94.023	110.16	214.23	51.823	60.139	652.40	-0.054840	6.4781e-05	0.12557	vapor
1943.5	1.0000	0.27590	3.6245	94.177	110.34	214.32	51.831	60.148	652.89	-0.055014	6.4847e-05	0.12572	vapor
1946.5	1.0000	0.27548	3.6301	94.331	110.52	214.42	51.840	60.156	653.39	-0.055187	6.4912e-05	0.12587	vapor
1949.5	1.0000	0.27506	3.6356	94.486	110.70	214.51	51.849	60.165	653.88	-0.055359	6.4977e-05	0.12602	vapor
1952.4	1.0000	0.27464	3.6412	94.640	110.88	214.60	51.858	60.174	654.37	-0.055531	6.5042e-05	0.12617	vapor
1955.4	1.0000	0.27422	3.6467	94.794	111.06	214.69	51.866	60.182	654.86	-0.055702	6.5108e-05	0.12631	vapor
1958.4	1.0000	0.27380	3.6523	94.948	111.23	214.78	51.875	60.191	655.35	-0.055872	6.5173e-05	0.12646	vapor
1961.4	1.0000	0.27339	3.6578	95.102	111.41	214.87	51.883	60.199	655.84	-0.056042	6.5238e-05	0.12661	vapor
1964.3	1.0000	0.27298	3.6633	95.256	111.59	214.97	51.892	60.208	656.33	-0.056211	6.5303e-05	0.12676	vapor
1967.3	1.0000	0.27256	3.6689	95.411	111.77	215.06	51.900	60.217	656.82	-0.056380	6.5368e-05	0.12690	vapor
1970.3	1.0000	0.27215	3.6744	95.565	111.95	215.15	51.909	60.225	657.30	-0.056548	6.5433e-05	0.12705	vapor
1973.2	1.0000	0.27174	3.6800	95.719	112.13	215.24	51.917	60.233	657.79	-0.056715	6.5498e-05	0.12720	vapor
1976.2	1.0000	0.27133	3.6855	95.874	112.31	215.33	51.926	60.242	658.28	-0.056881	6.5563e-05	0.12734	vapor
1979.2	1.0000	0.27093	3.6911	96.028	112.49	215.42	51.934	60.250	658.77	-0.057047	6.5627e-05	0.12749	vapor
1982.2	1.0000	0.27052	3.6966	96.182	112.67	215.51	51.943	60.259	659.25	-0.057213	6.5692e-05	0.12764	vapor
1985.1	1.0000	0.27011	3.7021	96.337	112.85	215.60	51.951	60.267	659.74	-0.057377	6.5757e-05	0.12778	vapor
1988.1	1.0000	0.26971	3.7077	96.491	113.02	215.69	51.959	60.275	660.23	-0.057541	6.5822e-05	0.12793	vapor
1991.1	1.0000	0.26931	3.7132	96.646	113.20	215.78	51.967	60.284	660.71	-0.057705	6.5886e-05	0.12807	vapor
1994.1	1.0000	0.26891	3.7188	96.800	113.38	215.87	51.976	60.292	661.20	-0.057868	6.5951e-05	0.12822	vapor
1997.0	1.0000	0.26851	3.7243	96.955	113.56	215.96	51.984	60.300	661.68	-0.058030	6.6016e-05	0.12837	vapor
2000.0	1.0000	0.26811	3.7298	97.109	113.74	216.05	51.992	60.308	662.17	-0.058192	6.6080e-05	0.12851	vapor
