Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
269.67	100.00	991.02	0.0010091	7.8310	8.2751	40.971	40.859	94.133	666.53	0.014205	0.00012120	0.12338	liquid
269.85	100.00	990.19	0.0010099	7.8469	8.2913	41.031	40.856	94.216	665.27	0.014419	0.00012088	0.12318	liquid
270.02	100.00	989.37	0.0010107	7.8627	8.3076	41.092	40.853	94.298	664.01	0.014634	0.00012057	0.12299	liquid
270.19	100.00	988.54	0.0010116	7.8786	8.3238	41.152	40.850	94.382	662.75	0.014850	0.00012025	0.12280	liquid
270.36	100.00	987.71	0.0010124	7.8945	8.3401	41.212	40.847	94.465	661.49	0.015068	0.00011994	0.12260	liquid
270.54	100.00	986.88	0.0010133	7.9104	8.3564	41.272	40.844	94.550	660.22	0.015287	0.00011963	0.12241	liquid
270.71	100.00	986.04	0.0010142	7.9264	8.3727	41.332	40.841	94.635	658.96	0.015507	0.00011931	0.12222	liquid
270.88	100.00	985.21	0.0010150	7.9423	8.3890	41.393	40.838	94.721	657.69	0.015729	0.00011900	0.12202	liquid
271.05	100.00	984.37	0.0010159	7.9583	8.4054	41.453	40.836	94.807	656.42	0.015953	0.00011869	0.12183	liquid
271.23	100.00	983.53	0.0010167	7.9742	8.4217	41.513	40.833	94.894	655.16	0.016178	0.00011838	0.12164	liquid
271.40	100.00	982.69	0.0010176	7.9902	8.4381	41.574	40.830	94.982	653.89	0.016404	0.00011807	0.12144	liquid
271.57	100.00	981.85	0.0010185	8.0062	8.4544	41.634	40.828	95.070	652.61	0.016632	0.00011776	0.12125	liquid
271.74	100.00	981.01	0.0010194	8.0222	8.4708	41.694	40.825	95.159	651.34	0.016861	0.00011745	0.12105	liquid
271.92	100.00	980.16	0.0010202	8.0382	8.4872	41.755	40.823	95.249	650.07	0.017092	0.00011714	0.12086	liquid
272.09	100.00	979.31	0.0010211	8.0543	8.5037	41.815	40.820	95.339	648.79	0.017325	0.00011683	0.12067	liquid
272.26	100.00	978.47	0.0010220	8.0703	8.5201	41.875	40.818	95.430	647.52	0.017559	0.00011652	0.12047	liquid
272.43	100.00	977.61	0.0010229	8.0864	8.5366	41.936	40.816	95.521	646.24	0.017794	0.00011622	0.12028	liquid
272.60	100.00	976.76	0.0010238	8.1025	8.5530	41.996	40.813	95.614	644.96	0.018032	0.00011591	0.12009	liquid
272.78	100.00	975.91	0.0010247	8.1185	8.5695	42.057	40.811	95.707	643.68	0.018270	0.00011560	0.11989	liquid
272.95	100.00	975.05	0.0010256	8.1347	8.5860	42.117	40.809	95.800	642.40	0.018511	0.00011530	0.11970	liquid
273.12	100.00	974.19	0.0010265	8.1508	8.6025	42.178	40.807	95.895	641.12	0.018753	0.00011499	0.11950	liquid
273.29	100.00	973.33	0.0010274	8.1669	8.6191	42.238	40.805	95.990	639.83	0.018996	0.00011469	0.11931	liquid
273.47	100.00	972.47	0.0010283	8.1831	8.6356	42.299	40.802	96.086	638.55	0.019242	0.00011439	0.11912	liquid
273.64	100.00	971.60	0.0010292	8.1992	8.6522	42.359	40.800	96.182	637.26	0.019489	0.00011408	0.11892	liquid
273.81	100.00	970.74	0.0010301	8.2154	8.6688	42.420	40.799	96.279	635.97	0.019737	0.00011378	0.11873	liquid
273.98	100.00	969.87	0.0010311	8.2316	8.6854	42.480	40.797	96.377	634.68	0.019988	0.00011348	0.11854	liquid
274.16	100.00	969.00	0.0010320	8.2478	8.7020	42.541	40.795	96.476	633.39	0.020240	0.00011318	0.11834	liquid
274.33	100.00	968.13	0.0010329	8.2640	8.7186	42.602	40.793	96.576	632.10	0.020494	0.00011288	0.11815	liquid
274.50	100.00	967.25	0.0010339	8.2803	8.7353	42.662	40.791	96.676	630.80	0.020749	0.00011258	0.11795	liquid
274.67	100.00	966.38	0.0010348	8.2965	8.7520	42.723	40.790	96.777	629.51	0.021007	0.00011228	0.11776	liquid
274.85	100.00	965.50	0.0010357	8.3128	8.7686	42.784	40.788	96.879	628.21	0.021266	0.00011198	0.11756	liquid
275.02	100.00	964.62	0.0010367	8.3291	8.7853	42.845	40.786	96.981	626.91	0.021527	0.00011168	0.11737	liquid
275.19	100.00	963.74	0.0010376	8.3454	8.8021	42.905	40.785	97.085	625.61	0.021790	0.00011139	0.11718	liquid
275.36	100.00	962.85	0.0010386	8.3617	8.8188	42.966	40.784	97.189	624.31	0.022054	0.00011109	0.11698	liquid
275.53	100.00	961.97	0.0010395	8.3781	8.8356	43.027	40.782	97.294	623.00	0.022321	0.00011079	0.11679	liquid
275.71	100.00	961.08	0.0010405	8.3944	8.8523	43.088	40.781	97.400	621.70	0.022589	0.00011050	0.11659	liquid
