Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
300.45	67.828	670.37	0.0014917	12.129	12.575	56.480	50.056	422.40	237.99	0.28692	5.2083e-05	0.081228	0.00030963	276.11	0.0036217	15.859	16.941	71.011	55.817	590.74	184.18	0.88377	2.1144e-05	0.058554
300.53	67.943	668.86	0.0014951	12.145	12.592	56.535	50.193	429.84	236.71	0.28940	5.1897e-05	0.081313	0.00030186	277.40	0.0036049	15.846	16.924	70.951	55.976	603.17	183.98	0.88086	2.1202e-05	0.059061
300.60	68.057	667.34	0.0014985	12.161	12.609	56.591	50.335	437.58	235.42	0.29191	5.1710e-05	0.081403	0.00029415	278.70	0.0035881	15.833	16.908	70.890	56.138	616.12	183.78	0.87793	2.1261e-05	0.059581
300.67	68.171	665.80	0.0015020	12.177	12.627	56.647	50.481	445.66	234.11	0.29447	5.1522e-05	0.081501	0.00028649	280.02	0.0035712	15.820	16.891	70.829	56.303	629.63	183.58	0.87497	2.1320e-05	0.060114
300.75	68.286	664.24	0.0015055	12.192	12.645	56.703	50.631	454.09	232.80	0.29707	5.1332e-05	0.081606	0.00027889	281.36	0.0035542	15.806	16.874	70.767	56.472	643.74	183.37	0.87198	2.1381e-05	0.060662
300.82	68.400	662.67	0.0015091	12.209	12.663	56.760	50.785	462.89	231.48	0.29971	5.1141e-05	0.081718	0.00027134	282.71	0.0035371	15.793	16.857	70.704	56.645	658.48	183.15	0.86895	2.1442e-05	0.061226
300.89	68.514	661.07	0.0015127	12.225	12.681	56.818	50.944	472.09	230.15	0.30239	5.0948e-05	0.081839	0.00026384	284.09	0.0035200	15.779	16.840	70.640	56.821	673.90	182.94	0.86590	2.1505e-05	0.061805
300.97	68.628	659.46	0.0015164	12.241	12.699	56.876	51.108	481.73	228.81	0.30513	5.0754e-05	0.081967	0.00025639	285.48	0.0035028	15.764	16.822	70.576	57.001	690.05	182.71	0.86281	2.1569e-05	0.062400
301.04	68.743	657.83	0.0015202	12.258	12.718	56.935	51.277	491.82	227.46	0.30790	5.0558e-05	0.082105	0.00024900	286.90	0.0034856	15.750	16.804	70.511	57.186	706.97	182.49	0.85969	2.1633e-05	0.063014
301.11	68.857	656.17	0.0015240	12.274	12.736	56.994	51.451	502.41	226.10	0.31073	5.0360e-05	0.082252	0.00024167	288.33	0.0034682	15.735	16.786	70.445	57.375	724.74	182.26	0.85653	2.1700e-05	0.063646
301.18	68.971	654.50	0.0015279	12.291	12.755	57.054	51.631	513.54	224.73	0.31361	5.0161e-05	0.082408	0.00023439	289.79	0.0034508	15.721	16.768	70.378	57.568	743.40	182.02	0.85333	2.1767e-05	0.064298
301.26	69.086	652.80	0.0015319	12.308	12.774	57.114	51.817	525.24	223.34	0.31654	4.9960e-05	0.082575	0.00022717	291.27	0.0034333	15.705	16.749	70.310	57.766	763.03	181.78	0.85010	2.1836e-05	0.064971
301.33	69.200	651.08	0.0015359	12.325	12.793	57.175	52.010	537.55	221.94	0.31953	4.9757e-05	0.082753	0.00022001	292.77	0.0034157	15.690	16.730	70.241	57.970	783.71	181.54	0.84682	2.1906e-05	0.065666
301.40	69.314	649.34	0.0015400	12.343	12.813	57.237	52.209	550.55	220.53	0.32258	4.9552e-05	0.082943	0.00021291	294.30	0.0033979	15.674	16.711	70.172	58.179	805.51	181.28	0.84350	2.1977e-05	0.066384
301.47	69.429	647.57	0.0015442	12.360	12.832	57.300	52.415	564.27	219.10	0.32568	4.9345e-05	0.083145	0.00020586	295.85	0.0033801	15.659	16.691	70.101	58.394	828.55	181.03	0.84014	2.2050e-05	0.067128
301.55	69.543	645.77	0.0015485	12.378	12.852	57.363	52.629	578.78	217.66	0.32885	4.9136e-05	0.083360	0.00019887	297.43	0.0033622	15.642	16.671	70.029	58.615	852.92	180.76	0.83673	2.2125e-05	0.067898
301.62	69.657	643.95	0.0015529	12.396	12.872	57.427	52.851	594.16	216.20	0.33208	4.8925e-05	0.083590	0.00019195	299.04	0.0033441	15.626	16.651	69.956	58.842	878.73	180.49	0.83328	2.2201e-05	0.068697
301.69	69.772	642.10	0.0015574	12.414	12.892	57.491	53.082	610.48	214.72	0.33539	4.8711e-05	0.083834	0.00018508	300.67	0.0033259	15.609	16.630	69.882	59.077	906.13	180.21	0.82977	2.2279e-05	0.069527
301.76	69.886	640.22	0.0015620	12.432	12.913	57.557	53.322	627.84	213.23	0.33876	4.8495e-05	0.084095	0.00017828	302.34	0.0033075	15.592	16.609	69.806	59.318	935.25	179.92	0.82621	2.2359e-05	0.070390
301.83	70.000	638.30	0.0015667	12.451	12.934	57.623	53.572	646.33	211.71	0.34221	4.8277e-05	0.084374	0.00017154	304.04	0.0032891	15.575	16.588	69.730	59.568	966.27	179.63	0.82260	2.2440e-05	0.071287
301.90	70.115	636.35	0.0015715	12.470	12.955	57.691	53.833	666.08	210.18	0.34574	4.8055e-05	0.084671	0.00016486	305.77	0.0032704	15.557	16.566	69.652	59.826	999.38	179.33	0.81893	2.2524e-05	0.072223
301.98	70.229	634.37	0.0015764	12.489	12.976	57.759	54.105	687.21	208.62	0.34935	4.7831e-05	0.084989	0.00015825	307.54	0.0032516	15.539	16.544	69.572	60.094	1034.8	179.01	0.81520	2.2610e-05	0.073199
302.05	70.343	632.35	0.0015814	12.508	12.998	57.829	54.390	709.88	207.04	0.35305	4.7603e-05	0.085329	0.00015171	309.35	0.0032326	15.520	16.521	69.491	60.371	1072.7	178.69	0.81140	2.2698e-05	0.074220
302.12	70.458	630.29	0.0015866	12.528	13.020	57.899	54.688	734.25	205.43	0.35685	4.7373e-05	0.085693	0.00014523	311.19	0.0032135	15.501	16.497	69.408	60.658	1113.5	178.36	0.80753	2.2788e-05	0.075289
302.19	70.572	628.19	0.0015919	12.548	13.043	57.971	55.001	760.54	203.80	0.36074	4.7138e-05	0.086084	0.00013882	313.08	0.0031941	15.481	16.473	69.324	60.957	1157.4	178.01	0.80360	2.2881e-05	0.076410
302.26	70.686	626.05	0.0015973	12.568	13.065	58.044	55.330	788.97	202.13	0.36473	4.6901e-05	0.086504	0.00013248	315.01	0.0031745	15.461	16.449	69.238	61.268	1204.8	177.65	0.79958	2.2977e-05	0.077588
302.33	70.801	623.86	0.0016029	12.589	13.089	58.118	55.676	819.80	200.44	0.36883	4.6659e-05	0.086955	0.00012621	316.99	0.0031547	15.441	16.424	69.150	61.593	1256.2	177.28	0.79549	2.3075e-05	0.078828
302.40	70.915	621.62	0.0016087	12.610	13.112	58.193	56.042	853.37	198.71	0.37305	4.6413e-05	0.087442	0.00012002	319.02	0.0031346	15.420	16.398	69.060	61.932	1312.0	176.89	0.79131	2.3177e-05	0.080137
302.47	71.029	619.32	0.0016147	12.632	13.136	58.270	56.429	890.03	196.94	0.37739	4.6163e-05	0.087968	0.00011390	321.10	0.0031143	15.398	16.372	68.967	62.288	1372.9	176.49	0.78704	2.3282e-05	0.081522
302.54	71.144	616.97	0.0016208	12.654	13.161	58.349	56.839	930.24	195.14	0.38187	4.5908e-05	0.088538	0.00010785	323.24	0.0030936	15.376	16.345	68.873	62.661	1439.5	176.07	0.78267	2.3390e-05	0.082990
302.61	71.258	614.56	0.0016272	12.676	13.186	58.430	57.274	974.53	193.29	0.38648	4.5647e-05	0.089156	0.00010188	325.45	0.0030727	15.353	16.317	68.776	63.053	1512.7	175.63	0.77820	2.3502e-05	0.084551
302.68	71.372	612.08	0.0016338	12.699	13.212	58.512	57.738	1023.5	191.40	0.39125	4.5381e-05	0.089830	9.5996e-05	327.72	0.0030514	15.330	16.288	68.676	63.467	1593.5	175.16	0.77362	2.3618e-05	0.086216
302.75	71.487	609.53	0.0016406	12.722	13.238	58.596	58.234	1078.0	189.46	0.39617	4.5110e-05	0.090565	9.0191e-05	330.06	0.0030298	15.306	16.259	68.573	63.905	1683.1	174.67	0.76891	2.3739e-05	0.087998
302.82	71.601	606.90	0.0016477	12.746	13.265	58.683	58.765	1138.9	187.46	0.40127	4.4831e-05	0.091372	8.4470e-05	332.48	0.0030077	15.281	16.228	68.467	64.369	1782.9	174.16	0.76408	2.3865e-05	0.089911
302.89	71.715	604.19	0.0016551	12.771	13.293	58.772	59.337	1207.5	185.41	0.40655	4.4546e-05	0.092261	7.8836e-05	334.98	0.0029852	15.255	16.197	68.358	64.863	1894.9	173.61	0.75911	2.3995e-05	0.091975
302.96	71.830	601.39	0.0016628	12.796	13.322	58.864	59.953	1285.1	183.29	0.41203	4.4253e-05	0.093243	7.3293e-05	337.58	0.0029623	15.228	16.164	68.245	65.392	2021.1	173.03	0.75399	2.4132e-05	0.094209
303.03	71.944	598.48	0.0016709	12.822	13.351	58.958	60.622	1373.7	181.10	0.41773	4.3951e-05	0.094336	6.7843e-05	340.28	0.0029388	15.199	16.130	68.128	65.958	2164.6	172.41	0.74870	2.4275e-05	0.096641
303.10	72.058	595.46	0.0016794	12.849	13.382	59.056	61.350	1475.7	178.84	0.42366	4.3640e-05	0.095559	6.2489e-05	343.09	0.0029147	15.170	16.095	68.006	66.569	2329.0	171.75	0.74324	2.4425e-05	0.099303
303.17	72.172	592.32	0.0016883	12.877	13.413	59.157	62.145	1594.1	176.49	0.42985	4.3318e-05	0.096937	5.7236e-05	346.03	0.0028899	15.140	16.058	67.879	67.232	2519.0	171.03	0.73758	2.4583e-05	0.10223
303.24	72.287	589.04	0.0016977	12.906	13.446	59.263	63.021	1733.3	174.05	0.43631	4.2985e-05	0.098500	5.2089e-05	349.11	0.0028644	15.108	16.019	67.747	67.954	2740.9	170.25	0.73170	2.4750e-05	0.10549
303.31	72.401	585.60	0.0017077	12.936	13.480	59.373	63.989	1898.9	171.50	0.44308	4.2638e-05	0.10029	4.7052e-05	352.35	0.0028381	15.074	15.978	67.608	68.746	3003.1	169.40	0.72558	2.4927e-05	0.10912
