Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
103.38	9.7675	668.19	0.0014966	-1.8675	-1.8266	96.700	27.303	67.756	563.78	0.0049280	68.118	0.094118	0.0034030	40.330	0.024795	1.7802	2.4587	138.15	24.543	45.804	182.86	1.6570	7.7536	0.011803
103.47	9.8239	667.62	0.0014979	-1.8618	-1.8206	96.756	27.298	67.842	562.67	0.0052110	67.937	0.093952	0.0033863	40.573	0.024647	1.7802	2.4585	138.11	24.560	45.917	182.84	1.6546	7.7635	0.011830
103.56	9.8803	667.04	0.0014992	-1.8561	-1.8146	96.811	27.292	67.929	561.56	0.0054947	67.757	0.093786	0.0033698	40.815	0.024501	1.7801	2.4583	138.07	24.577	46.030	182.83	1.6522	7.7734	0.011856
103.65	9.9367	666.47	0.0015004	-1.8504	-1.8087	96.866	27.287	68.015	560.46	0.0057793	67.579	0.093621	0.0033533	41.058	0.024356	1.7800	2.4580	138.03	24.593	46.144	182.81	1.6498	7.7833	0.011883
103.74	9.9931	665.90	0.0015017	-1.8448	-1.8027	96.921	27.282	68.102	559.36	0.0060646	67.401	0.093457	0.0033369	41.301	0.024212	1.7800	2.4578	137.99	24.610	46.258	182.79	1.6474	7.7932	0.011910
103.82	10.049	665.33	0.0015030	-1.8391	-1.7968	96.976	27.277	68.190	558.26	0.0063508	67.225	0.093294	0.0033206	41.545	0.024070	1.7799	2.4575	137.95	24.627	46.372	182.78	1.6450	7.8030	0.011937
103.91	10.106	664.76	0.0015043	-1.8335	-1.7909	97.031	27.272	68.278	557.16	0.0066378	67.049	0.093131	0.0033044	41.789	0.023930	1.7798	2.4572	137.91	24.644	46.487	182.76	1.6427	7.8129	0.011963
104.00	10.162	664.19	0.0015056	-1.8279	-1.7850	97.085	27.267	68.366	556.07	0.0069255	66.875	0.092969	0.0032883	42.033	0.023791	1.7797	2.4569	137.87	24.661	46.602	182.74	1.6403	7.8227	0.011990
104.08	10.219	663.62	0.0015069	-1.8223	-1.7792	97.139	27.262	68.454	554.98	0.0072141	66.702	0.092807	0.0032722	42.277	0.023654	1.7795	2.4567	137.84	24.678	46.718	182.72	1.6380	7.8325	0.012017
104.17	10.275	663.06	0.0015082	-1.8167	-1.7733	97.193	27.258	68.543	553.90	0.0075036	66.530	0.092647	0.0032562	42.522	0.023517	1.7794	2.4564	137.80	24.694	46.835	182.70	1.6356	7.8423	0.012044
