Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
113.13	17.493	595.75	0.0016785	-1.1992	-1.1170	102.94	27.155	84.336	431.31	0.053716	50.104	0.075991	0.0016875	76.953	0.012995	1.7081	2.3449	133.54	26.970	67.948	179.07	1.3961	9.0653	0.016150
113.18	17.549	595.24	0.0016800	-1.1949	-1.1123	102.97	27.158	84.509	430.44	0.054171	50.003	0.075883	0.0016780	77.253	0.012945	1.7072	2.3436	133.51	26.991	68.189	179.03	1.3944	9.0751	0.016189
113.24	17.605	594.73	0.0016814	-1.1906	-1.1076	103.01	27.161	84.683	429.56	0.054628	49.903	0.075775	0.0016685	77.553	0.012894	1.7062	2.3422	133.48	27.012	68.431	179.00	1.3928	9.0850	0.016228
113.30	17.662	594.22	0.0016829	-1.1862	-1.1030	103.05	27.164	84.858	428.69	0.055087	49.803	0.075667	0.0016591	77.855	0.012844	1.7053	2.3408	133.45	27.033	68.675	178.96	1.3911	9.0948	0.016268
113.36	17.718	593.71	0.0016843	-1.1819	-1.0983	103.09	27.168	85.035	427.82	0.055548	49.704	0.075560	0.0016497	78.156	0.012795	1.7043	2.3394	133.42	27.055	68.921	178.92	1.3894	9.1047	0.016307
113.42	17.775	593.20	0.0016858	-1.1776	-1.0937	103.13	27.171	85.213	426.96	0.056011	49.604	0.075452	0.0016404	78.459	0.012746	1.7033	2.3379	133.39	27.076	69.168	178.88	1.3878	9.1146	0.016347
113.47	17.831	592.69	0.0016872	-1.1733	-1.0890	103.17	27.174	85.391	426.09	0.056475	49.505	0.075345	0.0016311	78.762	0.012696	1.7023	2.3365	133.36	27.098	69.417	178.85	1.3861	9.1245	0.016387
113.53	17.887	592.18	0.0016887	-1.1690	-1.0844	103.21	27.178	85.571	425.22	0.056942	49.407	0.075239	0.0016218	79.066	0.012648	1.7013	2.3351	133.33	27.119	69.669	178.81	1.3845	9.1345	0.016427
113.59	17.944	591.67	0.0016901	-1.1647	-1.0797	103.25	27.181	85.752	424.35	0.057411	49.308	0.075132	0.0016125	79.370	0.012599	1.7003	2.3336	133.30	27.141	69.922	178.77	1.3828	9.1444	0.016467
113.65	18.000	591.16	0.0016916	-1.1604	-1.0751	103.28	27.184	85.935	423.49	0.057882	49.210	0.075026	0.0016033	79.675	0.012551	1.6993	2.3322	133.27	27.163	70.177	178.73	1.3812	9.1543	0.016508
113.70	18.057	590.65	0.0016930	-1.1561	-1.0705	103.32	27.188	86.118	422.62	0.058354	49.112	0.074920	0.0015941	79.981	0.012503	1.6983	2.3307	133.24	27.185	70.434	178.69	1.3795	9.1643	0.016548
113.76	18.113	590.14	0.0016945	-1.1518	-1.0658	103.36	27.192	86.303	421.76	0.058829	49.014	0.074814	0.0015850	80.287	0.012455	1.6973	2.3293	133.20	27.207	70.692	178.65	1.3779	9.1743	0.016589
113.82	18.169	589.63	0.0016960	-1.1475	-1.0612	103.40	27.195	86.489	420.90	0.059306	48.917	0.074709	0.0015758	80.594	0.012408	1.6963	2.3278	133.17	27.229	70.953	178.61	1.3762	9.1843	0.016630
113.87	18.226	589.12	0.0016975	-1.1432	-1.0566	103.44	27.199	86.677	420.03	0.059785	48.819	0.074604	0.0015667	80.902	0.012361	1.6952	2.3263	133.14	27.251	71.216	178.57	1.3746	9.1943	0.016671
113.93	18.282	588.61	0.0016989	-1.1390	-1.0520	103.48	27.203	86.865	419.17	0.060266	48.722	0.074498	0.0015577	81.210	0.012314	1.6942	2.3249	133.11	27.273	71.481	178.54	1.3729	9.2043	0.016712
113.99	18.339	588.10	0.0017004	-1.1347	-1.0473	103.51	27.207	87.055	418.31	0.060749	48.626	0.074394	0.0015486	81.519	0.012267	1.6932	2.3234	133.08	27.295	71.747	178.50	1.3712	9.2144	0.016753
114.04	18.395	587.58	0.0017019	-1.1304	-1.0427	103.55	27.211	87.246	417.45	0.061234	48.529	0.074289	0.0015396	81.829	0.012221	1.6921	2.3219	133.05	27.318	72.016	178.46	1.3696	9.2244	0.016795
114.10	18.451	587.07	0.0017034	-1.1262	-1.0381	103.59	27.215	87.438	416.59	0.061721	48.433	0.074185	0.0015307	82.139	0.012174	1.6911	2.3203	133.02	27.340	72.287	178.42	1.3679	9.2345	0.016836
114.16	18.508	586.56	0.0017049	-1.1219	-1.0335	103.63	27.219	87.632	415.73	0.062210	48.337	0.074081	0.0015217	82.450	0.012129	1.6900	2.3188	132.99	27.363	72.560	178.38	1.3663	9.2446	0.016878
114.21	18.564	586.05	0.0017063	-1.1176	-1.0289	103.67	27.223	87.827	414.88	0.062702	48.241	0.073977	0.0015128	82.762	0.012083	1.6889	2.3173	132.96	27.386	72.834	178.34	1.3646	9.2547	0.016920
114.27	18.620	585.54	0.0017078	-1.1134	-1.0243	103.70	27.227	88.024	414.02	0.063195	48.145	0.073873	0.0015039	83.074	0.012037	1.6879	2.3158	132.93	27.409	73.112	178.30	1.3630	9.2648	0.016962
114.32	18.677	585.02	0.0017093	-1.1091	-1.0197	103.74	27.231	88.221	413.16	0.063691	48.050	0.073770	0.0014951	83.387	0.011992	1.6868	2.3142	132.90	27.432	73.391	178.26	1.3613	9.2749	0.017005
114.38	18.733	584.51	0.0017108	-1.1049	-1.0151	103.78	27.236	88.420	412.30	0.064189	47.955	0.073666	0.0014863	83.701	0.011947	1.6857	2.3127	132.87	27.455	73.672	178.22	1.3597	9.2851	0.017047
114.44	18.790	584.00	0.0017123	-1.1006	-1.0105	103.82	27.240	88.621	411.45	0.064689	47.860	0.073563	0.0014775	84.015	0.011903	1.6846	2.3111	132.84	27.478	73.956	178.18	1.3580	9.2953	0.017090
114.49	18.846	583.49	0.0017138	-1.0964	-1.0059	103.85	27.245	88.823	410.59	0.065192	47.765	0.073461	0.0014687	84.330	0.011858	1.6835	2.3096	132.81	27.501	74.241	178.14	1.3564	9.3054	0.017133
114.55	18.902	582.97	0.0017153	-1.0922	-1.0013	103.89	27.249	89.026	409.74	0.065696	47.671	0.073358	0.0014600	84.646	0.011814	1.6824	2.3080	132.78	27.524	74.530	178.09	1.3547	9.3157	0.017176
114.60	18.959	582.46	0.0017169	-1.0879	-0.99675	103.93	27.254	89.231	408.89	0.066203	47.576	0.073256	0.0014513	84.962	0.011770	1.6813	2.3064	132.75	27.548	74.820	178.05	1.3530	9.3259	0.017219
114.66	19.015	581.95	0.0017184	-1.0837	-0.99217	103.97	27.258	89.437	408.03	0.066713	47.482	0.073154	0.0014426	85.279	0.011726	1.6802	2.3048	132.72	27.571	75.112	178.01	1.3514	9.3361	0.017263
114.71	19.072	581.43	0.0017199	-1.0795	-0.98759	104.01	27.263	89.645	407.18	0.067224	47.389	0.073052	0.0014340	85.597	0.011683	1.6791	2.3032	132.69	27.595	75.407	177.97	1.3497	9.3464	0.017306
114.77	19.128	580.92	0.0017214	-1.0753	-0.98301	104.04	27.268	89.854	406.33	0.067738	47.295	0.072950	0.0014254	85.916	0.011639	1.6779	2.3016	132.66	27.618	75.705	177.93	1.3481	9.3566	0.017350
114.82	19.184	580.40	0.0017229	-1.0710	-0.97844	104.08	27.273	90.065	405.48	0.068254	47.202	0.072849	0.0014168	86.235	0.011596	1.6768	2.3000	132.63	27.642	76.004	177.89	1.3464	9.3669	0.017394
114.87	19.241	579.89	0.0017245	-1.0668	-0.97386	104.12	27.278	90.277	404.63	0.068773	47.108	0.072747	0.0014082	86.555	0.011553	1.6756	2.2984	132.60	27.666	76.306	177.85	1.3448	9.3773	0.017438
114.93	19.297	579.37	0.0017260	-1.0626	-0.96929	104.16	27.283	90.491	403.78	0.069293	47.015	0.072646	0.0013997	86.876	0.011511	1.6745	2.2967	132.57	27.690	76.611	177.80	1.3431	9.3876	0.017483
114.98	19.354	578.86	0.0017275	-1.0584	-0.96473	104.19	27.288	90.706	402.93	0.069817	46.923	0.072546	0.0013912	87.198	0.011468	1.6733	2.2951	132.54	27.714	76.917	177.76	1.3414	9.3979	0.017527
115.04	19.410	578.34	0.0017291	-1.0542	-0.96016	104.23	27.293	90.923	402.08	0.070342	46.830	0.072445	0.0013827	87.520	0.011426	1.6722	2.2934	132.51	27.738	77.227	177.72	1.3398	9.4083	0.017572
115.09	19.466	577.83	0.0017306	-1.0500	-0.95560	104.27	27.298	91.141	401.23	0.070870	46.738	0.072345	0.0013743	87.843	0.011384	1.6710	2.2918	132.48	27.762	77.539	177.68	1.3381	9.4187	0.017617
115.15	19.523	577.31	0.0017322	-1.0458	-0.95104	104.30	27.304	91.362	400.38	0.071401	46.646	0.072244	0.0013659	88.167	0.011342	1.6698	2.2901	132.45	27.787	77.853	177.63	1.3365	9.4291	0.017662
115.20	19.579	576.80	0.0017337	-1.0416	-0.94648	104.34	27.309	91.583	399.54	0.071934	46.554	0.072145	0.0013575	88.491	0.011301	1.6686	2.2885	132.42	27.811	78.170	177.59	1.3348	9.4395	0.017707
115.25	19.635	576.28	0.0017353	-1.0374	-0.94193	104.38	27.315	91.807	398.69	0.072469	46.462	0.072045	0.0013492	88.817	0.011259	1.6675	2.2868	132.39	27.836	78.490	177.55	1.3331	9.4500	0.017753
115.31	19.692	575.76	0.0017368	-1.0332	-0.93737	104.42	27.320	92.032	397.84	0.073007	46.370	0.071945	0.0013408	89.143	0.011218	1.6663	2.2851	132.36	27.861	78.812	177.50	1.3315	9.4605	0.017799
115.36	19.748	575.24	0.0017384	-1.0290	-0.93282	104.45	27.326	92.258	397.00	0.073548	46.279	0.071846	0.0013325	89.470	0.011177	1.6651	2.2834	132.33	27.885	79.137	177.46	1.3298	9.4709	0.017844
115.41	19.805	574.73	0.0017400	-1.0248	-0.92827	104.49	27.332	92.487	396.15	0.074091	46.188	0.071747	0.0013243	89.797	0.011136	1.6638	2.2817	132.30	27.910	79.464	177.42	1.3282	9.4815	0.017891
115.47	19.861	574.21	0.0017415	-1.0206	-0.92372	104.53	27.337	92.717	395.31	0.074636	46.097	0.071648	0.0013160	90.126	0.011096	1.6626	2.2800	132.27	27.935	79.795	177.37	1.3265	9.4920	0.017937
115.52	19.917	573.69	0.0017431	-1.0164	-0.91917	104.56	27.343	92.949	394.46	0.075184	46.006	0.071549	0.0013078	90.455	0.011055	1.6614	2.2782	132.24	27.960	80.128	177.33	1.3248	9.5026	0.017984
115.57	19.974	573.17	0.0017447	-1.0123	-0.91463	104.60	27.349	93.183	393.62	0.075735	45.915	0.071451	0.0012996	90.785	0.011015	1.6602	2.2765	132.21	27.985	80.463	177.29	1.3232	9.5131	0.018030
115.63	20.030	572.65	0.0017463	-1.0081	-0.91009	104.64	27.355	93.418	392.78	0.076288	45.825	0.071352	0.0012915	91.116	0.010975	1.6589	2.2748	132.18	28.011	80.802	177.24	1.3215	9.5237	0.018077
115.68	20.087	572.13	0.0017478	-1.0039	-0.90555	104.67	27.361	93.655	391.93	0.076844	45.734	0.071254	0.0012833	91.447	0.010935	1.6577	2.2730	132.15	28.036	81.144	177.20	1.3198	9.5344	0.018124
115.73	20.143	571.61	0.0017494	-0.99972	-0.90101	104.71	27.367	93.894	391.09	0.077403	45.644	0.071156	0.0012752	91.780	0.010896	1.6565	2.2713	132.12	28.062	81.488	177.15	1.3182	9.5450	0.018172
115.79	20.199	571.09	0.0017510	-0.99555	-0.89647	104.75	27.373	94.135	390.25	0.077964	45.554	0.071059	0.0012672	92.113	0.010856	1.6552	2.2695	132.09	28.087	81.835	177.11	1.3165	9.5557	0.018219
115.84	20.256	570.57	0.0017526	-0.99138	-0.89193	104.79	27.380	94.378	389.41	0.078528	45.464	0.070961	0.0012591	92.447	0.010817	1.6539	2.2677	132.06	28.113	82.186	177.07	1.3148	9.5664	0.018267
115.89	20.312	570.05	0.0017542	-0.98721	-0.88739	104.82	27.386	94.623	388.56	0.079095	45.375	0.070864	0.0012511	92.782	0.010778	1.6527	2.2659	132.03	28.139	82.539	177.02	1.3131	9.5771	0.018315
115.94	20.368	569.53	0.0017558	-0.98305	-0.88286	104.86	27.393	94.870	387.72	0.079664	45.285	0.070767	0.0012431	93.118	0.010739	1.6514	2.2641	132.00	28.165	82.895	176.98	1.3115	9.5878	0.018364
115.99	20.425	569.01	0.0017574	-0.97888	-0.87833	104.90	27.399	95.118	386.88	0.080236	45.196	0.070670	0.0012351	93.454	0.010700	1.6501	2.2623	131.97	28.191	83.255	176.93	1.3098	9.5986	0.018412
116.05	20.481	568.49	0.0017591	-0.97472	-0.87380	104.93	27.406	95.369	386.04	0.080811	45.107	0.070573	0.0012272	93.792	0.010662	1.6488	2.2605	131.94	28.217	83.617	176.89	1.3081	9.6094	0.018461
116.10	20.538	567.97	0.0017607	-0.97056	-0.86926	104.97	27.412	95.622	385.20	0.081389	45.018	0.070477	0.0012193	94.130	0.010624	1.6475	2.2587	131.91	28.243	83.983	176.84	1.3065	9.6202	0.018510
116.15	20.594	567.44	0.0017623	-0.96640	-0.86474	105.01	27.419	95.876	384.36	0.081970	44.929	0.070381	0.0012114	94.469	0.010585	1.6462	2.2569	131.88	28.269	84.352	176.79	1.3048	9.6310	0.018559
116.20	20.650	566.92	0.0017639	-0.96225	-0.86021	105.04	27.426	96.133	383.53	0.082553	44.841	0.070285	0.0012035	94.809	0.010547	1.6449	2.2551	131.85	28.296	84.724	176.75	1.3031	9.6419	0.018608
116.25	20.707	566.39	0.0017656	-0.95809	-0.85568	105.08	27.433	96.392	382.69	0.083140	44.752	0.070189	0.0011957	95.150	0.010510	1.6436	2.2532	131.82	28.322	85.100	176.70	1.3014	9.6528	0.018658
116.31	20.763	565.87	0.0017672	-0.95394	-0.85115	105.11	27.440	96.652	381.85	0.083729	44.664	0.070093	0.0011879	95.492	0.010472	1.6422	2.2514	131.79	28.349	85.478	176.66	1.2997	9.6637	0.018708
116.36	20.820	565.35	0.0017688	-0.94979	-0.84663	105.15	27.447	96.916	381.01	0.084321	44.576	0.069998	0.0011801	95.835	0.010435	1.6409	2.2495	131.76	28.376	85.860	176.61	1.2981	9.6746	0.018758
116.41	20.876	564.82	0.0017705	-0.94564	-0.84210	105.19	27.454	97.181	380.17	0.084917	44.488	0.069902	0.0011723	96.178	0.010397	1.6396	2.2476	131.73	28.402	86.246	176.56	1.2964	9.6856	0.018809
116.46	20.932	564.29	0.0017721	-0.94150	-0.83758	105.22	27.462	97.448	379.34	0.085515	44.400	0.069807	0.0011646	96.523	0.010360	1.6382	2.2457	131.70	28.429	86.635	176.52	1.2947	9.6966	0.018859
116.51	20.989	563.77	0.0017738	-0.93735	-0.83306	105.26	27.469	97.718	378.50	0.086116	44.312	0.069712	0.0011569	96.868	0.010323	1.6369	2.2438	131.67	28.456	87.027	176.47	1.2930	9.7076	0.018910
116.56	21.045	563.24	0.0017754	-0.93321	-0.82853	105.30	27.477	97.989	377.66	0.086720	44.225	0.069618	0.0011492	97.214	0.010287	1.6355	2.2420	131.64	28.484	87.423	176.42	1.2913	9.7186	0.018961
116.61	21.102	562.71	0.0017771	-0.92906	-0.82401	105.33	27.484	98.264	376.82	0.087327	44.137	0.069523	0.0011415	97.561	0.010250	1.6341	2.2400	131.61	28.511	87.823	176.38	1.2896	9.7297	0.019012
116.66	21.158	562.19	0.0017788	-0.92492	-0.81949	105.37	27.492	98.540	375.99	0.087938	44.050	0.069429	0.0011339	97.909	0.010214	1.6328	2.2381	131.58	28.538	88.226	176.33	1.2879	9.7408	0.019064
116.71	21.214	561.66	0.0017804	-0.92078	-0.81497	105.41	27.499	98.819	375.15	0.088551	43.963	0.069335	0.0011263	98.259	0.010177	1.6314	2.2362	131.55	28.566	88.633	176.28	1.2863	9.7519	0.019116
116.77	21.271	561.13	0.0017821	-0.91664	-0.81045	105.44	27.507	99.100	374.32	0.089168	43.876	0.069241	0.0011187	98.608	0.010141	1.6300	2.2343	131.52	28.593	89.044	176.24	1.2846	9.7631	0.019168
116.82	21.327	560.60	0.0017838	-0.91250	-0.80593	105.48	27.515	99.383	373.48	0.089788	43.789	0.069147	0.0011112	98.959	0.010105	1.6286	2.2323	131.49	28.621	89.458	176.19	1.2829	9.7743	0.019220
116.87	21.383	560.07	0.0017855	-0.90837	-0.80141	105.52	27.523	99.669	372.64	0.090411	43.703	0.069054	0.0011036	99.311	0.010069	1.6272	2.2304	131.46	28.649	89.876	176.14	1.2812	9.7855	0.019273
116.92	21.440	559.54	0.0017872	-0.90423	-0.79689	105.55	27.531	99.958	371.81	0.091037	43.616	0.068960	0.0010961	99.664	0.010034	1.6258	2.2284	131.43	28.677	90.299	176.09	1.2795	9.7967	0.019326
116.97	21.496	559.01	0.0017889	-0.90010	-0.79237	105.59	27.539	100.25	370.97	0.091666	43.530	0.068867	0.0010887	100.02	0.0099982	1.6243	2.2264	131.40	28.705	90.725	176.04	1.2778	9.8080	0.019379
117.02	21.553	558.48	0.0017906	-0.89596	-0.78786	105.62	27.548	100.54	370.14	0.092299	43.444	0.068774	0.0010812	100.37	0.0099629	1.6229	2.2244	131.37	28.733	91.155	176.00	1.2761	9.8193	0.019433
117.07	21.609	557.95	0.0017923	-0.89183	-0.78334	105.66	27.556	100.84	369.30	0.092935	43.357	0.068681	0.0010738	100.73	0.0099277	1.6215	2.2224	131.34	28.761	91.589	175.95	1.2744	9.8307	0.019486
117.12	21.665	557.41	0.0017940	-0.88770	-0.77882	105.70	27.565	101.14	368.47	0.093574	43.271	0.068589	0.0010664	101.09	0.0098927	1.6200	2.2204	131.31	28.790	92.027	175.90	1.2727	9.8420	0.019540
117.17	21.722	556.88	0.0017957	-0.88357	-0.77430	105.73	27.573	101.44	367.64	0.094217	43.186	0.068496	0.0010590	101.44	0.0098578	1.6186	2.2184	131.27	28.818	92.470	175.85	1.2710	9.8534	0.019595
117.22	21.778	556.34	0.0017974	-0.87944	-0.76978	105.77	27.582	101.74	366.80	0.094863	43.100	0.068404	0.0010516	101.80	0.0098230	1.6171	2.2164	131.24	28.847	92.916	175.80	1.2693	9.8649	0.019649
117.27	21.835	555.81	0.0017992	-0.87531	-0.76526	105.80	27.590	102.05	365.97	0.095513	43.014	0.068312	0.0010443	102.16	0.0097884	1.6157	2.2144	131.21	28.876	93.367	175.75	1.2676	9.8763	0.019704
117.32	21.891	555.27	0.0018009	-0.87118	-0.76074	105.84	27.599	102.36	365.13	0.096166	42.929	0.068220	0.0010370	102.52	0.0097540	1.6142	2.2123	131.18	28.905	93.822	175.70	1.2659	9.8878	0.019759
117.37	21.947	554.74	0.0018026	-0.86705	-0.75622	105.88	27.608	102.67	364.30	0.096822	42.843	0.068129	0.0010297	102.88	0.0097197	1.6127	2.2103	131.15	28.934	94.282	175.65	1.2641	9.8993	0.019815
117.42	22.004	554.20	0.0018044	-0.86293	-0.75170	105.91	27.617	102.98	363.47	0.097482	42.758	0.068037	0.0010225	103.25	0.0096856	1.6112	2.2082	131.12	28.963	94.746	175.60	1.2624	9.9109	0.019870
117.47	22.060	553.67	0.0018061	-0.85880	-0.74718	105.95	27.627	103.30	362.63	0.098146	42.673	0.067946	0.0010152	103.61	0.0096515	1.6097	2.2062	131.09	28.992	95.215	175.55	1.2607	9.9225	0.019926
117.51	22.117	553.13	0.0018079	-0.85467	-0.74266	105.98	27.636	103.62	361.80	0.098813	42.588	0.067855	0.0010080	103.98	0.0096177	1.6082	2.2041	131.06	29.021	95.688	175.50	1.2590	9.9341	0.019983
117.56	22.173	552.59	0.0018097	-0.85055	-0.73814	106.02	27.645	103.95	360.96	0.099484	42.503	0.067764	0.0010009	104.34	0.0095839	1.6067	2.2020	131.03	29.051	96.166	175.45	1.2573	9.9458	0.020039
117.61	22.229	552.05	0.0018114	-0.84642	-0.73362	106.06	27.655	104.27	360.13	0.10016	42.418	0.067674	0.00099370	104.71	0.0095503	1.6052	2.1999	131.00	29.080	96.649	175.40	1.2556	9.9575	0.020096
117.66	22.286	551.51	0.0018132	-0.84230	-0.72910	106.09	27.664	104.60	359.30	0.10084	42.334	0.067583	0.00098656	105.08	0.0095169	1.6036	2.1978	130.97	29.110	97.136	175.35	1.2538	9.9692	0.020153
117.71	22.342	550.97	0.0018150	-0.83817	-0.72458	106.13	27.674	104.94	358.46	0.10152	42.249	0.067493	0.00097945	105.45	0.0094836	1.6021	2.1957	130.94	29.140	97.629	175.30	1.2521	9.9810	0.020211
117.76	22.398	550.43	0.0018168	-0.83405	-0.72005	106.16	27.684	105.27	357.63	0.10220	42.165	0.067403	0.00097236	105.82	0.0094504	1.6006	2.1935	130.91	29.170	98.126	175.25	1.2504	9.9928	0.020269
117.81	22.455	549.89	0.0018186	-0.82992	-0.71553	106.20	27.694	105.61	356.80	0.10289	42.080	0.067313	0.00096530	106.19	0.0094173	1.5990	2.1914	130.88	29.200	98.629	175.20	1.2487	10.005	0.020327
117.86	22.511	549.34	0.0018204	-0.82580	-0.71100	106.24	27.704	105.95	355.96	0.10359	41.996	0.067223	0.00095826	106.56	0.0093844	1.5974	2.1892	130.85	29.230	99.136	175.15	1.2469	10.017	0.020386
117.90	22.568	548.80	0.0018222	-0.82167	-0.70648	106.27	27.714	106.30	355.13	0.10428	41.912	0.067134	0.00095125	106.93	0.0093516	1.5959	2.1871	130.81	29.260	99.649	175.10	1.2452	10.028	0.020444
117.95	22.624	548.25	0.0018240	-0.81755	-0.70195	106.31	27.724	106.65	354.29	0.10498	41.828	0.067045	0.00094425	107.31	0.0093189	1.5943	2.1849	130.78	29.291	100.17	175.05	1.2435	10.040	0.020503
118.00	22.680	547.71	0.0018258	-0.81342	-0.69742	106.34	27.734	107.00	353.46	0.10569	41.744	0.066956	0.00093728	107.68	0.0092864	1.5927	2.1827	130.75	29.321	100.69	175.00	1.2417	10.052	0.020563
118.05	22.737	547.16	0.0018276	-0.80930	-0.69289	106.38	27.745	107.36	352.63	0.10640	41.660	0.066867	0.00093034	108.06	0.0092540	1.5911	2.1805	130.72	29.352	101.22	174.95	1.2400	10.064	0.020623
118.10	22.793	546.62	0.0018294	-0.80517	-0.68836	106.42	27.755	107.72	351.79	0.10711	41.576	0.066778	0.00092342	108.44	0.0092217	1.5895	2.1783	130.69	29.383	101.75	174.89	1.2382	10.076	0.020683
118.15	22.850	546.07	0.0018313	-0.80105	-0.68383	106.45	27.766	108.08	350.96	0.10783	41.493	0.066689	0.00091652	108.82	0.0091896	1.5879	2.1761	130.66	29.414	102.29	174.84	1.2365	10.089	0.020743
118.19	22.906	545.52	0.0018331	-0.79692	-0.67930	106.49	27.777	108.45	350.12	0.10855	41.409	0.066601	0.00090965	109.20	0.0091576	1.5863	2.1739	130.63	29.445	102.84	174.79	1.2347	10.101	0.020804
118.24	22.962	544.97	0.0018350	-0.79280	-0.67476	106.52	27.788	108.82	349.29	0.10927	41.326	0.066513	0.00090279	109.58	0.0091257	1.5846	2.1716	130.60	29.476	103.39	174.74	1.2330	10.113	0.020865
118.29	23.019	544.42	0.0018368	-0.78867	-0.67023	106.56	27.799	109.19	348.46	0.11000	41.243	0.066425	0.00089597	109.96	0.0090939	1.5830	2.1694	130.57	29.507	103.95	174.68	1.2312	10.125	0.020927
118.34	23.075	543.87	0.0018387	-0.78454	-0.66569	106.60	27.810	109.57	347.62	0.11074	41.159	0.066337	0.00088916	110.35	0.0090622	1.5813	2.1671	130.53	29.539	104.51	174.63	1.2295	10.137	0.020989
118.39	23.132	543.32	0.0018405	-0.78042	-0.66115	106.63	27.821	109.95	346.79	0.11148	41.076	0.066250	0.00088238	110.73	0.0090307	1.5797	2.1649	130.50	29.570	105.08	174.58	1.2277	10.150	0.021051
118.43	23.188	542.77	0.0018424	-0.77629	-0.65661	106.67	27.833	110.33	345.95	0.11222	40.993	0.066162	0.00087562	111.12	0.0089993	1.5780	2.1626	130.47	29.602	105.65	174.53	1.2260	10.162	0.021114
118.48	23.244	542.21	0.0018443	-0.77216	-0.65207	106.70	27.844	110.72	345.12	0.11296	40.910	0.066075	0.00086888	111.51	0.0089680	1.5763	2.1603	130.44	29.634	106.23	174.47	1.2242	10.174	0.021177
118.53	23.301	541.66	0.0018462	-0.76803	-0.64752	106.74	27.856	111.11	344.28	0.11371	40.827	0.065988	0.00086217	111.90	0.0089368	1.5747	2.1580	130.41	29.666	106.82	174.42	1.2224	10.187	0.021240
118.57	23.357	541.10	0.0018481	-0.76390	-0.64298	106.78	27.868	111.51	343.45	0.11447	40.744	0.065902	0.00085548	112.29	0.0089057	1.5730	2.1557	130.38	29.698	107.42	174.37	1.2207	10.199	0.021304
118.62	23.413	540.55	0.0018500	-0.75977	-0.63843	106.81	27.880	111.91	342.61	0.11523	40.661	0.065815	0.00084881	112.68	0.0088748	1.5713	2.1533	130.35	29.731	108.02	174.31	1.2189	10.212	0.021368
118.67	23.470	539.99	0.0018519	-0.75563	-0.63388	106.85	27.892	112.32	341.77	0.11599	40.579	0.065729	0.00084217	113.07	0.0088439	1.5695	2.1510	130.32	29.763	108.62	174.26	1.2171	10.224	0.021432
118.72	23.526	539.43	0.0018538	-0.75150	-0.62932	106.88	27.904	112.73	340.94	0.11676	40.496	0.065643	0.00083555	113.47	0.0088132	1.5678	2.1487	130.28	29.796	109.24	174.20	1.2154	10.237	0.021497
118.76	23.583	538.87	0.0018557	-0.74736	-0.62477	106.92	27.916	113.14	340.10	0.11754	40.414	0.065557	0.00082895	113.86	0.0087826	1.5661	2.1463	130.25	29.828	109.86	174.15	1.2136	10.250	0.021563
118.81	23.639	538.31	0.0018577	-0.74323	-0.62021	106.96	27.929	113.56	339.26	0.11831	40.331	0.065471	0.00082237	114.26	0.0087521	1.5644	2.1439	130.22	29.861	110.49	174.10	1.2118	10.262	0.021628
118.86	23.695	537.75	0.0018596	-0.73909	-0.61565	106.99	27.942	113.98	338.43	0.11910	40.249	0.065386	0.00081582	114.66	0.0087217	1.5626	2.1415	130.19	29.894	111.12	174.04	1.2100	10.275	0.021694
118.90	23.752	537.19	0.0018615	-0.73495	-0.61109	107.03	27.954	114.41	337.59	0.11989	40.166	0.065300	0.00080929	115.06	0.0086914	1.5609	2.1391	130.16	29.927	111.76	173.99	1.2082	10.288	0.021761
118.95	23.808	536.63	0.0018635	-0.73081	-0.60653	107.06	27.967	114.84	336.75	0.12068	40.084	0.065215	0.00080278	115.46	0.0086612	1.5591	2.1367	130.13	29.961	112.41	173.93	1.2064	10.301	0.021828
119.00	23.865	536.06	0.0018655	-0.72667	-0.60196	107.10	27.980	115.28	335.91	0.12147	40.002	0.065130	0.00079629	115.86	0.0086311	1.5573	2.1343	130.09	29.994	113.07	173.88	1.2046	10.314	0.021895
119.04	23.921	535.50	0.0018674	-0.72253	-0.59739	107.13	27.994	115.72	335.07	0.12228	39.920	0.065046	0.00078983	116.26	0.0086012	1.5555	2.1319	130.06	30.028	113.74	173.82	1.2029	10.327	0.021963
119.09	23.977	534.93	0.0018694	-0.71838	-0.59282	107.17	28.007	116.17	334.23	0.12308	39.838	0.064961	0.00078338	116.67	0.0085713	1.5537	2.1294	130.03	30.062	114.41	173.76	1.2011	10.340	0.022031
119.14	24.034	534.37	0.0018714	-0.71424	-0.58824	107.21	28.020	116.62	333.39	0.12390	39.756	0.064877	0.00077696	117.07	0.0085416	1.5519	2.1270	130.00	30.096	115.09	173.71	1.1993	10.353	0.022100
